symbol,name,bucket,close,breakout_level,base_months,base_start,vol_x_10wk,weekly_close_pos,ext_vs_10m_ma_pct,base_drawdown_pct,off_high_pct,turnover_cr,sources,weekly_candle_final,spliced_today,s3_pass,s4_score,s3_fail
CENTUM,Centum Electronics Limited,WATCH,4376.9,3851.8,0.9,2026-08-10,3.4,0.93,38.7,18.0,0.88,350.0,52w_high+price_gainer,False,False,True,2,
SYRMA,Syrma SGS Technology Limited,WATCH,1634.8,1474.3,0.9,2026-08-11,2.1,0.95,49.0,9.7,1.09,2137.7,52w_high,False,False,True,2,
