symbol,name,bucket,close,breakout_level,base_months,base_start,vol_x_10wk,weekly_close_pos,ext_vs_10m_ma_pct,base_drawdown_pct,off_high_pct,turnover_cr,sources,weekly_candle_final,spliced_today,s3_pass,s4_score,s3_fail
TEGA,Tega Industries Limited,CONFIRMED,2129.0,1974.0,12.1,2025-09-18,2.9,0.91,21.9,30.0,0.62,975.2,52w_high,False,False,True,4,
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,CONFIRMED,627.7,581.15,11.9,2025-09-23,4.9,1.0,26.9,38.3,0.0,17.4,52w_high+price_gainer,False,False,True,3,
