symbol,name,bucket,close,breakout_level,base_months,base_start,vol_x_10wk,weekly_close_pos,ext_vs_10m_ma_pct,base_drawdown_pct,off_high_pct,turnover_cr,sources,weekly_candle_final,spliced_today,s3_pass,s4_score,s3_fail
CAPLIPOINT,Caplin Point Laboratories Limited,WATCH,2711.2,2614.2,1.6,2026-07-15,3.7,0.85,29.6,11.7,1.09,538.5,52w_high+volume_gainer,False,False,True,2,
SAKAR,Sakar Healthcare Limited,WATCH,965.75,924.65,0.7,2026-08-11,1.8,0.77,42.6,15.1,1.9,113.9,52w_high+price_gainer,False,False,True,2,
