symbol,name,bucket,close,breakout_level,base_months,base_start,vol_x_10wk,weekly_close_pos,ext_vs_10m_ma_pct,base_drawdown_pct,off_high_pct,turnover_cr,sources,weekly_candle_final,spliced_today,s3_pass,s4_score,s3_fail
MUNJALAU,Munjal Auto Industries Limited,WATCH,119.37,105.33,1.2,2026-07-06,5.4,0.98,37.2,15.1,0.0,479.2,52w_high+price_gainer+volume_gainer,False,False,True,2,
PRECWIRE,Precision Wires India Limited,WATCH,468.65,422.05,2.6,2026-05-25,5.7,0.91,36.7,24.6,1.85,318.0,52w_high+price_gainer,False,False,True,2,
SWARAJ,Swaraj Suiting Limited,WATCH,371.5,367.55,0.7,2026-07-22,2.0,0.83,28.2,6.7,0.93,12.9,52w_high,False,False,True,2,
