symbol,name,bucket,close,breakout_level,base_months,base_start,vol_x_10wk,weekly_close_pos,ext_vs_10m_ma_pct,base_drawdown_pct,off_high_pct,turnover_cr,sources,weekly_candle_final,spliced_today,s3_pass,s4_score,s3_fail
KANPRPLA,Kanpur Plastipack Limited,CONFIRMED,260.38,231.63,11.1,2025-09-10,8.0,0.94,32.6,38.8,0.76,23.7,52w_high+price_gainer+volume_gainer,False,False,True,3,
TI,Tilaknagar Industries Limited,CONFIRMED,553.7,528.1,9.4,2025-10-31,3.0,0.87,19.6,30.6,1.95,231.6,52w_high,False,False,True,4,
MIDHANI,Mishra Dhatu Nigam Limited,CONFIRMED,444.85,437.0,2.1,2026-06-10,4.1,0.8,19.1,15.0,2.32,720.4,52w_high+price_gainer,False,False,True,3,
