symbol,name,bucket,close,breakout_level,base_months,base_start,vol_x_10wk,weekly_close_pos,ext_vs_10m_ma_pct,base_drawdown_pct,off_high_pct,turnover_cr,sources,weekly_candle_final,spliced_today,s3_pass,s4_score,s3_fail
HATSUN,Hatsun Agro Product Limited,CONFIRMED,1177.0,1105.85,10.0,2025-10-28,4.5,0.91,23.0,27.5,1.63,14.1,52w_high,True,True,True,4,
VINCOFE,Vintage Coffee And Beverages Limited,CONFIRMED,176.53,172.2,7.6,2026-01-08,1.6,0.79,17.2,33.1,2.82,71.1,52w_high,True,True,True,4,
SHYAMMETL,Shyam Metalics and Energy Limited,CONFIRMED,1104.4,1031.3,1.3,2026-07-20,2.2,0.95,21.6,11.0,0.59,296.3,52w_high,True,True,True,3,
INGERRAND,Ingersoll Rand (India) Limited,CONFIRMED,4871.1,4660.6,0.5,2026-08-14,1.6,0.92,20.1,7.3,0.57,60.0,52w_high,True,True,True,3,
