symbol,name,bucket,close,breakout_level,base_months,base_start,vol_x_10wk,weekly_close_pos,ext_vs_10m_ma_pct,base_drawdown_pct,off_high_pct,turnover_cr,sources,weekly_candle_final,spliced_today,s3_pass,s4_score,s3_fail
SHANTIGOLD,Shanti Gold International Limited,CONFIRMED,269.58,247.66,12.0,2025-08-21,2.6,0.87,28.2,43.5,1.55,123.8,52w_high,True,False,True,3,
IIFL,IIFL Finance Limited,CONFIRMED,679.8,649.3,7.5,2026-01-06,1.6,0.9,26.7,39.4,0.61,778.6,52w_high,True,False,True,3,
MANGLMCEM,Mangalam Cement Limited,CONFIRMED,1027.95,986.6,1.2,2026-07-16,13.1,0.95,19.9,15.8,0.0,64.1,52w_high,True,False,True,3,
