symbol,name,bucket,close,breakout_level,base_months,base_start,vol_x_10wk,weekly_close_pos,ext_vs_10m_ma_pct,base_drawdown_pct,off_high_pct,turnover_cr,sources,weekly_candle_final,spliced_today,s3_pass,s4_score,s3_fail
ACMESOLAR,Acme Solar Holdings Limited,WATCH,435.25,418.0,0.5,2026-09-04,2.0,0.86,38.0,9.5,0.47,524.0,52w_high,True,False,True,2,
AVALON,Avalon Technologies Limited,WATCH,2537.7,2264.5,0.4,2026-09-07,2.3,0.87,71.7,18.3,0.61,1067.2,52w_high+price_gainer,True,False,True,2,
TALBROAUTO,Talbros Automotive Components Limited,WATCH,476.7,439.35,1.3,2026-08-10,2.9,0.94,39.6,12.6,0.58,91.9,52w_high+price_gainer,True,False,True,2,
WELENT,Welspun Enterprises Limited,WATCH,823.35,813.6,0.5,2026-09-04,2.5,0.87,46.1,12.1,2.12,137.9,52w_high,True,False,True,2,
