symbol,name,bucket,close,breakout_level,base_months,base_start,vol_x_10wk,weekly_close_pos,ext_vs_10m_ma_pct,base_drawdown_pct,off_high_pct,turnover_cr,sources,weekly_candle_final,spliced_today,s3_pass,s4_score,s3_fail
UTTAMSUGAR,Uttam Sugar Mills Limited,CONFIRMED,300.99,269.35,11.5,2025-09-02,3.2,0.87,25.6,39.4,1.89,20.9,52w_high,False,False,True,3,
ELGIEQUIP,Elgi Equipments Limited,CONFIRMED,637.8,612.75,2.7,2026-05-29,2.5,0.92,19.2,10.8,0.62,108.7,52w_high,False,False,True,3,
