symbol,name,bucket,close,breakout_level,base_months,base_start,vol_x_10wk,weekly_close_pos,ext_vs_10m_ma_pct,base_drawdown_pct,off_high_pct,turnover_cr,sources,weekly_candle_final,spliced_today,s3_pass,s4_score,s3_fail
NILKAMAL,Nilkamal Limited,WATCH,2033.8,1860.0,0.7,2026-07-28,2.7,0.78,42.8,17.3,2.66,290.4,52w_high+price_gainer+volume_gainer,False,False,True,2,
SONAMLTD,SONAM LIMITED,WATCH,67.19,58.39,2.6,2026-06-01,6.4,0.87,31.1,19.4,1.43,6.4,52w_high+price_gainer,False,False,True,2,
