symbol,name,bucket,close,breakout_level,base_months,base_start,vol_x_10wk,weekly_close_pos,ext_vs_10m_ma_pct,base_drawdown_pct,off_high_pct,turnover_cr,sources,weekly_candle_final,spliced_today,s3_pass,s4_score,s3_fail
AARTIPHARM,Aarti Pharmalabs Limited,WATCH,940.1,864.95,1.4,2026-08-11,1.8,0.88,28.3,18.0,2.32,276.9,52w_high,False,False,True,2,
MANINDS,Man Industries (India) Limited,WATCH,986.7,866.1,0.4,2026-09-10,2.3,0.89,83.6,21.1,0.47,1018.7,52w_high+price_gainer,False,False,True,2,
OPTIEMUS,Optiemus Infracom Limited,WATCH,828.35,681.6,11.9,2025-09-25,12.9,0.92,67.7,59.6,2.33,869.9,52w_high+price_gainer,False,False,True,2,
