symbol,name,bucket,close,breakout_level,base_months,base_start,vol_x_10wk,weekly_close_pos,ext_vs_10m_ma_pct,base_drawdown_pct,off_high_pct,turnover_cr,sources,weekly_candle_final,spliced_today,s3_pass,s4_score,s3_fail
MUKANDLTD,Mukand Limited,CONFIRMED,157.11,145.69,4.2,2026-05-18,3.6,0.93,15.3,16.4,0.5,38.7,52w_high+price_gainer+volume_gainer,False,False,True,4,
PASUPTAC,Pasupati Acrylon Limited,CONFIRMED,79.82,74.21,3.5,2026-06-08,5.2,0.88,40.9,28.7,2.5,8.3,52w_high,False,False,True,3,
NOCIL,NOCIL Limited,CONFIRMED,206.3,194.56,3.0,2026-06-23,1.7,0.75,24.8,22.3,2.37,152.2,52w_high,False,False,True,4,
IKS,Inventurus Knowledge Solutions Limited,CONFIRMED,1937.8,1928.1,2.5,2026-07-10,2.3,0.84,17.8,12.8,2.14,196.1,52w_high,False,False,True,3,
TEXINFRA,Texmaco Infrastructure & Holdings Limited,CONFIRMED,123.47,115.52,0.5,2026-09-07,3.7,0.82,18.7,10.6,2.58,34.2,52w_high+volume_gainer,False,False,True,3,
