symbol,name,bucket,close,breakout_level,base_months,base_start,vol_x_10wk,weekly_close_pos,ext_vs_10m_ma_pct,base_drawdown_pct,off_high_pct,turnover_cr,sources,weekly_candle_final,spliced_today,s3_pass,s4_score,s3_fail
SUBEXLTD,Subex Limited,WATCH,19.23,18.66,0.6,2026-08-21,1.7,0.88,62.8,13.9,2.6,58.9,52w_high+price_gainer,False,False,True,2,
VENUSPIPES,Venus Pipes & Tubes Limited,WATCH,1949.9,1807.9,2.1,2026-07-07,1.8,0.82,39.7,18.6,2.26,202.9,52w_high,False,False,True,2,
WHEELS,Wheels India Limited,WATCH,2106.4,1724.9,2.3,2026-06-30,5.7,1.0,59.9,25.8,0.0,783.7,52w_high+price_gainer+volume_gainer,False,False,True,2,
