symbol,name,bucket,close,breakout_level,base_months,base_start,vol_x_10wk,weekly_close_pos,ext_vs_10m_ma_pct,base_drawdown_pct,off_high_pct,turnover_cr,sources,weekly_candle_final,spliced_today,s3_pass,s4_score,s3_fail
BIL,Bhartiya International Limited,CONFIRMED,1108.2,915.75,6.9,2026-02-10,4.1,0.93,39.7,33.9,1.53,20.8,52w_high+price_gainer,False,False,True,3,
BALPHARMA,Bal Pharma Limited,CONFIRMED,114.45,90.32,3.4,2026-05-27,5.4,1.0,41.4,23.1,0.0,8.6,52w_high+price_gainer,False,False,True,3,
